original_filename,original_path,new_filename,new_path,description
unnamed (15).jpg,NEW/phase2/unnamed (15).jpg,programs-tier-advantage-daily-monitoring-manager-01.jpg,assets_renamed/programs/programs-tier-advantage-daily-monitoring-manager-01.jpg,OnSite Advantage: Manager checking daily monitoring data
unnamed (16).jpg,NEW/phase2/unnamed (16).jpg,programs-tier-access-temporary-construction-project-01.jpg,assets_renamed/programs/programs-tier-access-temporary-construction-project-01.jpg,OnSite Access: Temporary construction project setup
unnamed (17).jpg,NEW/phase2/unnamed (17).jpg,programs-tier-access-seasonal-agriculture-harvest-01.jpg,assets_renamed/programs/programs-tier-access-seasonal-agriculture-harvest-01.jpg,OnSite Access: Seasonal agricultural harvest operations
unnamed (18).jpg,NEW/phase2/unnamed (18).jpg,programs-loan-high-volume-construction-multi-tanks-01.jpg,assets_renamed/programs/programs-loan-high-volume-construction-multi-tanks-01.jpg,Tank Loan: High-volume construction with multiple tanks
unnamed (19).jpg,NEW/phase2/unnamed (19).jpg,programs-loan-fleet-yard-zero-equipment-cost-01.jpg,assets_renamed/programs/programs-loan-fleet-yard-zero-equipment-cost-01.jpg,Tank Loan: Fleet yard benefiting from zero equipment cost
unnamed (20).jpg,NEW/phase2/unnamed (20).jpg,programs-rental-temporary-project-flexible-terms-01.jpg,assets_renamed/programs/programs-rental-temporary-project-flexible-terms-01.jpg,Tank Rental: Temporary project with flexible rental terms
unnamed (21).jpg,NEW/phase2/unnamed (21).jpg,programs-rental-seasonal-agriculture-monthly-rental-01.jpg,assets_renamed/programs/programs-rental-seasonal-agriculture-monthly-rental-01.jpg,Tank Rental: Seasonal agriculture with monthly rental
unnamed (22).jpg,NEW/phase2/unnamed (22).jpg,programs-purchase-permanent-industrial-facility-01.jpg,assets_renamed/programs/programs-purchase-permanent-industrial-facility-01.jpg,Tank Purchase: Permanent industrial facility installation
unnamed (23).jpg,NEW/phase2/unnamed (23).jpg,programs-purchase-generator-backup-customer-owned-01.jpg,assets_renamed/programs/programs-purchase-generator-backup-customer-owned-01.jpg,Tank Purchase: Generator backup with customer ownership
unnamed (24).jpg,NEW/phase2/unnamed (24).jpg,resources-case-study-construction-improved-efficiency-01.jpg,assets_renamed/resources/resources-case-study-construction-improved-efficiency-01.jpg,Case study: Construction site with improved efficiency
unnamed (25).jpg,NEW/phase2/unnamed (25).jpg,resources-case-study-fleet-reduced-downtime-01.jpg,assets_renamed/resources/resources-case-study-fleet-reduced-downtime-01.jpg,Case study: Fleet operations with reduced downtime
unnamed (26).jpg,NEW/phase2/unnamed (26).jpg,resources-case-study-industrial-backup-reliability-01.jpg,assets_renamed/resources/resources-case-study-industrial-backup-reliability-01.jpg,Case study: Industrial facility with backup power reliability
unnamed (27).jpg,NEW/phase2/unnamed (27).jpg,resources-guide-fuel-cost-management-analysis-01.jpg,assets_renamed/resources/resources-guide-fuel-cost-management-analysis-01.jpg,Guide: Fuel cost management and analysis
unnamed (30).jpg,NEW/phase2/unnamed (30).jpg,resources-guide-monitoring-best-practices-dashboard-01.jpg,assets_renamed/resources/resources-guide-monitoring-best-practices-dashboard-01.jpg,Guide: Fuel monitoring best practices dashboard
